"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",4.267292842407462,2.529747096493078,1.686845633037033,0.09799039301609491,0.026043089687096455,8.508542595127826
"PovPct",1.373345388695396,0.18352297710400867,7.483234036232284,1.187818728907984e-9,1.0656597776159678,1.681030999774824
