"FECHA_SINTOMAS","n"
"2020-09-28","14424"
"2020-09-29","12669"
"2020-09-30","12817"
"2020-10-01","16391"
"2020-10-02","11837"
"2020-10-03","10549"
"2020-10-04","10603"
"2020-10-05","15525"
"2020-10-06","12236"
"2020-10-07","12237"
"2020-10-08","11981"
"2020-10-09","12640"
"2020-10-10","17452"
"2020-10-11","11261"
"2020-10-12","16159"
"2020-10-13","13828"
"2020-10-14","13223"
"2020-10-15","15932"
"2020-10-16","14171"
"2020-10-17","12721"
"2020-10-18","14403"
"2020-10-19","18937"
"2020-10-20","22019"
"2020-10-21","14735"
"2020-10-22","15429"
"2020-10-23","15364"
"2020-10-24","12577"
"2020-10-25","15860"
"2020-10-26","18408"
"2020-10-27","15879"
"2020-10-28","16590"
"2020-10-29","13825"
"2020-10-30","14836"
"2020-10-31","11097"
"2020-11-01","18486"
"2020-11-02","15440"
"2020-11-03","16040"
"2020-11-04","14843"
"2020-11-05","16087"
"2020-11-06","15290"
"2020-11-07","13243"
"2020-11-08","13237"
"2020-11-09","19005"
"2020-11-10","20501"
"2020-11-11","15821"
"2020-11-12","14328"
"2020-11-13","14203"
"2020-11-14","12053"
"2020-11-15","15816"
"2020-11-16","15579"
"2020-11-17","17883"
"2020-11-18","17737"
"2020-11-19","16769"
"2020-11-20","26685"
"2020-11-21","15825"
"2020-11-22","16235"
"2020-11-23","22724"
"2020-11-24","19924"
"2020-11-25","23195"
"2020-11-26","18864"
"2020-11-27","20449"
"2020-11-28","19970"
"2020-11-29","17726"
"2020-11-30","29459"
"2020-12-01","34450"
"2020-12-02","25388"
"2020-12-03","25091"
"2020-12-04","25515"
"2020-12-05","26004"
"2020-12-06","19737"
"2020-12-07","31982"
"2020-12-08","28007"
"2020-12-09","29036"
"2020-12-10","34856"
"2020-12-11","28268"
"2020-12-12","26457"
"2020-12-13","21976"
"2020-12-14","33474"
"2020-12-15","32927"
"2020-12-16","27378"
"2020-12-17","26119"
"2020-12-18","30376"
"2020-12-19","24324"
"2020-12-20","27219"
"2020-12-21","29351"
"2020-12-22","26404"
"2020-12-23","25216"
"2020-12-24","26134"
"2020-12-25","22426"
"2020-12-26","25175"
"2020-12-27","23931"
"2020-12-28","36668"
"2020-12-29","28183"
"2020-12-30","29687"
"2020-12-31","29987"
"2021-01-01","38193"
"2021-01-02","30312"
"2021-01-03","30258"
"2021-01-04","45229"
"2021-01-05","42018"
"2021-01-06","37030"
"2021-01-07","37370"
"2021-01-08","38290"
"2021-01-09","33553"
